flight_id,date_key,airline_key,origin_key,dest_key,op_carrier_fl_num,crs_dep_time,dep_time,dep_delay,crs_arr_time,arr_time,arr_delay,taxi_out,taxi_in,crs_elapsed_time,actual_elapsed_time,air_time,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,cancelled,diverted,cancellation_code
8248,20241126,1,18,56,5196.0,2055,2056.0,1.0,2148,2140.0,-8.0,18.0,4.0,53.0,44.0,22.0,106.0,0,0,0,0,0,0,0,
8249,20240611,8,151,135,381.0,1838,1835.0,-3.0,1934,1937.0,3.0,15.0,6.0,56.0,62.0,41.0,216.0,0,0,0,0,0,0,0,
8250,20240427,2,82,194,1720.0,815,811.0,-4.0,1407,1405.0,-2.0,12.0,9.0,232.0,234.0,213.0,1709.0,0,0,0,0,0,0,0,
8251,20240417,2,183,194,1255.0,510,507.0,-3.0,920,856.0,-24.0,12.0,9.0,190.0,169.0,148.0,1251.0,0,0,0,0,0,0,0,
8252,20240628,14,51,73,198.0,2240,2300.0,20.0,10,31.0,21.0,8.0,4.0,90.0,91.0,79.0,430.0,0,0,1,0,20,0,0,
8253,20241028,14,77,244,687.0,1400,1419.0,19.0,1730,1747.0,17.0,8.0,3.0,150.0,148.0,137.0,1052.0,17,0,0,0,0,0,0,
8254,20240827,9,194,154,3635.0,1340,1338.0,-2.0,1502,1500.0,-2.0,18.0,9.0,82.0,82.0,55.0,335.0,0,0,0,0,0,0,0,
8255,20240811,14,50,225,4318.0,810,804.0,-6.0,940,925.0,-15.0,12.0,6.0,90.0,81.0,63.0,369.0,0,0,0,0,0,0,0,
8256,20241006,14,225,256,4103.0,750,800.0,10.0,905,955.0,50.0,19.0,6.0,75.0,115.0,90.0,304.0,0,0,50,0,0,0,0,
8257,20240419,13,82,265,500.0,957,1029.0,32.0,1434,1446.0,12.0,15.0,5.0,157.0,137.0,117.0,1024.0,0,0,0,0,0,0,0,
8258,20240218,5,40,18,923.0,655,655.0,0.0,1008,958.0,-10.0,23.0,9.0,193.0,183.0,151.0,946.0,0,0,0,0,0,0,0,
8259,20241021,5,174,216,2801.0,1800,1750.0,-10.0,1950,2014.0,24.0,27.0,69.0,170.0,204.0,108.0,733.0,0,0,24,0,0,0,0,
8260,20240127,1,271,18,5124.0,600,830.0,150.0,847,1135.0,168.0,26.0,11.0,107.0,125.0,88.0,551.0,150,0,18,0,0,0,0,
8261,20240602,2,225,297,1467.0,2203,2158.0,-5.0,2249,2246.0,-3.0,13.0,4.0,46.0,48.0,31.0,110.0,0,0,0,0,0,0,0,
8262,20241021,13,268,176,1111.0,855,843.0,-12.0,1135,1113.0,-22.0,18.0,7.0,340.0,330.0,305.0,2447.0,0,0,0,0,0,0,0,
8263,20240418,13,222,268,1632.0,1555,1654.0,59.0,1749,1838.0,49.0,15.0,6.0,114.0,104.0,83.0,550.0,0,0,49,0,0,0,0,
8264,20240331,14,225,215,1058.0,1140,1145.0,5.0,1300,1313.0,13.0,19.0,6.0,80.0,88.0,63.0,325.0,0,0,0,0,0,0,0,
8265,20241215,15,155,148,5858.0,945,939.0,-6.0,1210,1148.0,-22.0,17.0,11.0,145.0,129.0,101.0,665.0,0,0,0,0,0,0,0,
8266,20240504,12,256,268,3478.0,1300,1253.0,-7.0,1442,1453.0,11.0,26.0,4.0,102.0,120.0,90.0,447.0,0,0,0,0,0,0,0,
8267,20240914,5,18,254,1083.0,2250,2241.0,-9.0,30,12.0,-18.0,18.0,6.0,100.0,91.0,67.0,515.0,0,0,0,0,0,0,0,
8268,20241015,9,225,28,3849.0,2032,2025.0,-7.0,2209,2144.0,-25.0,16.0,4.0,97.0,79.0,59.0,425.0,0,0,0,0,0,0,0,
8269,20241201,13,40,216,1783.0,2032,2226.0,114.0,2228,1.0,93.0,15.0,11.0,176.0,155.0,129.0,867.0,2,0,0,0,91,0,0,
8270,20240129,15,224,40,5724.0,1705,1656.0,-9.0,1830,1822.0,-8.0,20.0,14.0,85.0,86.0,52.0,280.0,0,0,0,0,0,0,0,
8271,20240215,6,275,184,1823.0,359,357.0,-2.0,618,606.0,-12.0,13.0,11.0,199.0,189.0,165.0,1189.0,0,0,0,0,0,0,0,
8272,20240813,6,184,224,3856.0,1511,1509.0,-2.0,1800,1737.0,-23.0,11.0,9.0,169.0,148.0,128.0,861.0,0,0,0,0,0,0,0,
8273,20241222,5,221,18,1376.0,600,555.0,-5.0,754,737.0,-17.0,12.0,9.0,114.0,102.0,81.0,545.0,0,0,0,0,0,0,0,
8274,20241201,14,136,138,2989.0,900,850.0,-10.0,1010,954.0,-16.0,12.0,4.0,70.0,64.0,48.0,277.0,0,0,0,0,0,0,0,
8275,20241208,13,184,142,1832.0,1620,1618.0,-2.0,1832,1824.0,-8.0,16.0,7.0,132.0,126.0,103.0,758.0,0,0,0,0,0,0,0,
8276,20240213,2,52,83,1497.0,1554,1547.0,-7.0,1952,1954.0,2.0,16.0,31.0,178.0,187.0,140.0,1163.0,0,0,0,0,0,0,0,
8277,20240922,12,268,297,5506.0,1015,1031.0,16.0,1229,1225.0,-4.0,16.0,5.0,134.0,114.0,93.0,751.0,0,0,0,0,0,0,0,
8278,20240808,13,143,206,2011.0,1850,1940.0,50.0,2006,2045.0,39.0,13.0,5.0,76.0,65.0,47.0,305.0,39,0,0,0,0,0,0,
8279,20240511,6,163,82,2430.0,1100,1052.0,-8.0,1404,1343.0,-21.0,14.0,15.0,124.0,111.0,82.0,628.0,0,0,0,0,0,0,0,
8280,20241122,5,256,276,1117.0,640,630.0,-10.0,954,930.0,-24.0,25.0,7.0,134.0,120.0,88.0,626.0,0,0,0,0,0,0,0,
8281,20240610,14,165,82,736.0,525,520.0,-5.0,850,834.0,-16.0,17.0,4.0,145.0,134.0,113.0,862.0,0,0,0,0,0,0,0,
8282,20240530,14,174,82,5232.0,600,605.0,5.0,825,819.0,-6.0,27.0,9.0,265.0,254.0,218.0,1620.0,0,0,0,0,0,0,0,
8283,20241004,14,3,163,4851.0,630,628.0,-2.0,705,651.0,-14.0,11.0,4.0,95.0,83.0,68.0,486.0,0,0,0,0,0,0,0,
8284,20240724,2,83,52,952.0,900,903.0,3.0,1113,1114.0,1.0,19.0,8.0,193.0,191.0,164.0,1163.0,0,0,0,0,0,0,0,
8285,20240627,10,163,273,2518.0,921,913.0,-8.0,1048,1035.0,-13.0,15.0,2.0,87.0,82.0,65.0,386.0,0,0,0,0,0,0,0,
8286,20240526,5,18,265,1339.0,1820,1808.0,-12.0,1941,1935.0,-6.0,22.0,7.0,81.0,87.0,58.0,321.0,0,0,0,0,0,0,0,
